property_id,description,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price_tier
18686390,Cozy Studio in the Heart of the East Village,Manhattan,East Village,40.72415,-73.98411,Entire home/apt,1,13,1,0,2
27703757,Beautiful 4 Bdrm Home - 25 min from Manhattan,Queens,Laurelton,40.67525,-73.74625,Entire home/apt,2,6,2,321,2
27552471,Best Brighton Beach welcoming for your stay!,Brooklyn,Brighton Beach,40.57762,-73.96051,Entire home/apt,2,2,1,0,1
16917171,West Village - 1 Bedroom,Manhattan,West Village,40.73459,-74.00143,Entire home/apt,2,1,1,0,2
32984848,2 Bedroom Clean & Simple in Manhattan,Manhattan,Chinatown,40.71358,-73.99062,Entire home/apt,3,7,1,49,2
6220514,Amazing 3 bedrooms in East Village,Manhattan,East Village,40.72551,-73.97893,Entire home/apt,30,25,1,0,2
34275461,BedStuy Penthouse Duplex 1BR,Brooklyn,Bedford-Stuyvesant,40.68417,-73.95343,Entire home/apt,30,1,1,191,2
13576581,Modern Central Park Apartment close to everything,Manhattan,Harlem,40.80573,-73.94994,Entire home/apt,1,160,3,246,2
30344630,Upper East Side 1 Bedroom,Manhattan,Upper East Side,40.77538,-73.94857,Entire home/apt,30,0,1,158,2
32884505,"Cozy, spacious room in Bed-Stuy",Brooklyn,Bedford-Stuyvesant,40.68845,-73.9439,Private room,1,7,1,0,0
26777328,Private 3D Room in 4BR/2BA APT in Hell's Kitchen,Manhattan,Hell's Kitchen,40.75955,-73.99022,Private room,1,67,12,241,1
16296678,Bergen street in Crown Heights - French speaking,Brooklyn,Crown Heights,40.6749,-73.95233,Entire home/apt,4,47,1,5,2
27775893,Midtown Studio,Manhattan,Midtown,40.74752,-73.98679,Entire home/apt,3,28,1,333,2
32676181,Accessible Two Bedded Suite With Kitchen near MSG,Manhattan,Chelsea,40.7492,-73.99073,Private room,1,22,9,319,1
2695367,Bright spacious 3bd; near subways and bus,Manhattan,Washington Heights,40.84203,-73.93985,Private room,2,24,1,318,1
34340593,Beaut room 10min away from the city with Prkg Avbl,Queens,Astoria,40.76701,-73.91208,Private room,1,2,3,281,1
7602400,Stylish 1 BR in the heart of SoHo,Manhattan,SoHo,40.72634,-74.00101,Entire home/apt,3,6,1,0,2
13651250,Classic Gramercy Studio,Manhattan,Gramercy,40.73536,-73.98433,Entire home/apt,7,7,1,0,2
19319184,"Cozy Room, on a Park-themed-Iike Island",Manhattan,Roosevelt Island,40.76178,-73.94889,Private room,3,24,2,190,1
21889698,Humongous Crown Heights Prvt Room in spacious 2brm,Brooklyn,Crown Heights,40.66373,-73.93222,Private room,30,1,2,137,0
1016819,2BR 2Bath duplex w garden & terrace,Brooklyn,Clinton Hill,40.68771,-73.96186,Entire home/apt,6,5,1,3,2
32012464,Half a block from the train! my private cozy room,Queens,Jackson Heights,40.7489,-73.87549,Private room,2,20,1,167,0
22309027,Brownstone Garden Apartment,Brooklyn,Clinton Hill,40.68585,-73.96461,Entire home/apt,2,0,1,0,2
18485393,Enormous studio in East Harlem,Manhattan,East Harlem,40.79921,-73.9387,Entire home/apt,1,0,1,0,2
17480159,"Cozy studio, private entrance & 3 min. JFK",Queens,Jamaica,40.66989,-73.77454,Entire home/apt,1,75,1,294,1
9609049,Modern Apt in Williamsburg-roofdeck,Brooklyn,Greenpoint,40.71984,-73.95386,Entire home/apt,4,25,1,6,2
22001568,"Spacious bedroom in Greenpoint, BK",Brooklyn,Greenpoint,40.7249,-73.94105,Private room,7,3,1,0,1
14800184,Spacious Bedroom in Gorgeous Renovated Apartment,Brooklyn,Bedford-Stuyvesant,40.69063,-73.93947,Private room,2,87,1,60,1
17342599,"Stylish, Spacious room Express train to Midtown",Manhattan,Washington Heights,40.84114,-73.93639,Private room,5,33,3,1,1
27931134,NEW Bohemian Brooklyn 1 Bed,Brooklyn,Flatbush,40.63847,-73.95693,Entire home/apt,2,0,1,30,2
6723207,spacious apartment in Ditmas Park,Brooklyn,Flatbush,40.638,-73.96742,Entire home/apt,7,0,1,0,1
35461700,Artsy Private BR in Fort Greene Cumberland,Brooklyn,Fort Greene,40.69774,-73.97502,Private room,30,0,25,341,0
15423731,Historic and Quiet 2 Bedroom w Backyard,Queens,Ridgewood,40.70349,-73.8994,Entire home/apt,6,96,2,48,1
11624421,Prvt Bedroom in Brooklyn Brownstone,Brooklyn,Fort Greene,40.68465,-73.97069,Private room,60,2,2,43,0
32937132,Super Cute 2 Beds in the East village,Manhattan,East Village,40.7295,-73.98327,Entire home/apt,30,0,4,151,2
18568023,"Refreshing Room in the Heart of Bed Stuy, Brooklyn",Brooklyn,Bedford-Stuyvesant,40.68212,-73.9486,Private room,2,0,1,0,0
35616793,"CozySuite near F Train & LIRR
Min 2 guests",Queens,Briarwood,40.70762,-73.81453,Entire home/apt,1,5,3,326,1
16347171,Brooklyn Brownstone Serenity,Brooklyn,Bedford-Stuyvesant,40.68588,-73.92784,Entire home/apt,6,55,1,59,1
33964014,The Zen Home,Queens,Astoria,40.76623,-73.91243,Private room,1,9,1,35,1
26876289,2BR 3BD 1.5BA / Rooftop & Balcony / Airport PickUp,Queens,Ridgewood,40.70676,-73.91107,Entire home/apt,2,40,2,104,3
31409739,Stunning triplex in East Williamsburg,Brooklyn,Williamsburg,40.70952,-73.9435,Entire home/apt,6,2,1,49,2
1940534,Big specious room is Manhattan!!!,Manhattan,Harlem,40.82024,-73.93799,Private room,7,19,8,324,0
24312400,Private room in cozy Sunnyside apartment,Queens,Sunnyside,40.73937,-73.91566,Private room,1,9,1,0,0
1456352,Monthly Rental or more than 30 days for 6 people,Manhattan,Upper West Side,40.80028,-73.9618,Entire home/apt,32,132,1,211,2
15820512,Apartment with backyard in East Williamsburg,Brooklyn,Williamsburg,40.70653,-73.93864,Entire home/apt,4,91,1,212,2
14441627,Zen Temple Vibe apt in heart of Hells Kitchen NYC,Manhattan,Hell's Kitchen,40.75987,-73.99008,Entire home/apt,3,15,1,4,2
5050799,Great Prospect / Crown Heights 1BR,Brooklyn,Crown Heights,40.67586,-73.9621,Entire home/apt,5,22,1,0,1
2250372,"Huge 3BR Penthouse, Private Roof!",Manhattan,Kips Bay,40.74422,-73.97822,Entire home/apt,2,0,1,0,3
34285612,Cozy Bushwich Decatur 3F Room #4,Brooklyn,Bushwick,40.68678,-73.90769,Private room,1,4,2,160,0
13389280,"West 55th street, Lux 1bd Serviced Apartment",Manhattan,Theater District,40.76375,-73.98387,Entire home/apt,30,0,87,364,2
34490373,"Enormous Suite near Central Park, Times Square",Manhattan,Theater District,40.76175,-73.9857,Private room,1,0,15,359,3
32860550,VIP,Bronx,Mott Haven,40.81058,-73.9069,Private room,5,0,1,179,1
19861088,Cozy & Quiet Harlem Studio,Manhattan,Harlem,40.81707,-73.9349,Entire home/apt,3,20,1,0,2
16400971,Washington Heights Oasis,Manhattan,Washington Heights,40.84369,-73.93891,Entire home/apt,7,0,1,0,2
24179288,**Amazing Private Room 20 min to manhattan,Brooklyn,Bushwick,40.68994,-73.91371,Private room,2,41,10,359,0
23355877,"Beautiful large space in Jackson Heights, Queens!",Queens,Elmhurst,40.74443,-73.88613,Private room,2,3,1,89,1
1349237,"Bright, Very Spacious, & Quiet Room in Manhattan",Manhattan,Harlem,40.80887,-73.94756,Private room,2,146,1,129,1
5374226,Homey Well-Located Apartment!,Manhattan,Gramercy,40.73554,-73.98855,Entire home/apt,2,16,1,0,2
2627737,"Large Sunny Apt, Great Location!",Brooklyn,Prospect Heights,40.67318,-73.96738,Entire home/apt,5,10,1,0,1
31594590,Prime Bushwick Entire 2 Bedroom Apt 10 min to City,Brooklyn,Bushwick,40.69633,-73.93369,Entire home/apt,3,0,2,0,1
31101826,Easy commute apartment next to subway,Brooklyn,Bedford-Stuyvesant,40.67877,-73.91227,Shared room,1,9,17,88,0
19121957,Big private room in huge artsy Williamsburg loft,Brooklyn,Williamsburg,40.7116,-73.94432,Private room,2,13,2,7,1
34859949,Amazing Townhouse Experience with Private Garden,Manhattan,Midtown,40.7431,-73.98233,Entire home/apt,2,6,1,231,3
31187945,Clean comfortable room,Brooklyn,East Flatbush,40.63383,-73.94175,Private room,1,0,1,90,2
9944013,Large bedroom in chinatown,Manhattan,Chinatown,40.71521,-73.99606,Private room,1,1,1,0,1
8194369,Cute room in huge artist loft!,Brooklyn,Bedford-Stuyvesant,40.67889,-73.9481,Private room,14,9,1,0,0
841484,cozy charming apt - Lower East Side,Manhattan,Lower East Side,40.71892,-73.98627,Entire home/apt,3,50,1,1,2
15889590,A Stunning Private 1 Bedroom in Downtown Flushing,Queens,Flushing,40.76092,-73.82194,Entire home/apt,30,4,15,7,2
21054012,Ashes Cove,Queens,Springfield Gardens,40.66013,-73.77166,Entire home/apt,3,23,2,357,2
